"","int.name","species","Lake","Month","Year","angler.type","trip.type","length","type","length.cm","length.cat","length.cat2","CPUE","type.2","cat","speciesn"
"112","2740.2010-06-03.265","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.496551724137931,0,"Q","generic"
"113","2740.2010-06-03.265","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.496551724137931,0,"Q","generic"
"114","2740.2010-06-03.265","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.496551724137931,0,"Q","generic"
"115","2740.2010-06-03.265","Bluegill","Merritt","Jun","2010","2","1",230,"release",23,"230",23,0.496551724137931,0,"Q","generic"
"120","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",164,"harvest",16,"175",16,1.46974063400576,1,"Q","generic"
"121","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",195,"harvest",20,"200",20,1.46974063400576,1,"Q","generic"
"122","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,1.46974063400576,0,"Q","generic"
"123","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",176,"harvest",18,"200",18,1.46974063400576,1,"Q","generic"
"124","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",176,"harvest",18,"200",18,1.46974063400576,1,"Q","generic"
"125","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",174,"harvest",17,"175",17,1.46974063400576,1,"Q","generic"
"126","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",182,"harvest",18,"200",18,1.46974063400576,1,"Q","generic"
"127","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",177,"harvest",18,"200",18,1.46974063400576,1,"Q","generic"
"128","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,1.46974063400576,0,"Q","generic"
"129","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",192,"harvest",19,"200",19,1.46974063400576,1,"Q","generic"
"130","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",182,"harvest",18,"200",18,1.46974063400576,1,"Q","generic"
"131","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,1.46974063400576,0,"Q","generic"
"132","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",192,"harvest",19,"200",19,1.46974063400576,1,"Q","generic"
"133","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",175,"harvest",18,"175",18,1.46974063400576,1,"Q","generic"
"134","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,1.46974063400576,0,"Q","generic"
"135","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,1.46974063400576,0,"Q","generic"
"136","2740.2010-06-03.273","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,1.46974063400576,0,"Q","generic"
"138","2740.2010-06-03.275","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.0666666666666667,0,"Q","generic"
"140","2740.2010-06-03.276","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.142857142857143,0,"Q","generic"
"141","2740.2010-06-03.276","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.142857142857143,0,"Q","generic"
"143","2740.2010-06-03.277","Bluegill","Merritt","Jun","2010","2","1",213,"harvest",21,"230",21,0.13953488372093,1,"Q","generic"
"144","2740.2010-06-03.277","Bluegill","Merritt","Jun","2010","2","1",210,"harvest",21,"230",21,0.13953488372093,1,"Q","generic"
"145","2740.2010-06-03.277","Bluegill","Merritt","Jun","2010","2","1",195,"harvest",20,"200",20,0.13953488372093,1,"Q","generic"
"146","2740.2010-06-03.277","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.13953488372093,0,"Q","generic"
"156","2740.2010-06-07.297","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.16304347826087,0,"Q","generic"
"158","2740.2010-06-07.301","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.0892857142857143,0,"Q","generic"
"164","2740.2010-06-09.312","Bluegill","Merritt","Jun","2010","2","1",230,"release",23,"230",23,0.124653739612188,0,"Q","generic"
"165","2740.2010-06-09.312","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.124653739612188,0,"Q","generic"
"166","2740.2010-06-09.312","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.124653739612188,0,"Q","generic"
"168","2740.2010-06-09.313","Bluegill","Merritt","Jun","2010","2","1",190,"harvest",19,"200",19,0.358974358974359,1,"Q","generic"
"169","2740.2010-06-09.313","Bluegill","Merritt","Jun","2010","2","1",166,"harvest",17,"175",17,0.358974358974359,1,"Q","generic"
"170","2740.2010-06-09.313","Bluegill","Merritt","Jun","2010","2","1",189,"harvest",19,"200",19,0.358974358974359,1,"Q","generic"
"171","2740.2010-06-09.313","Bluegill","Merritt","Jun","2010","2","1",183,"harvest",18,"200",18,0.358974358974359,1,"Q","generic"
"172","2740.2010-06-09.313","Bluegill","Merritt","Jun","2010","2","1",179,"harvest",18,"200",18,0.358974358974359,1,"Q","generic"
"173","2740.2010-06-09.313","Bluegill","Merritt","Jun","2010","2","1",172,"harvest",17,"175",17,0.358974358974359,1,"Q","generic"
"174","2740.2010-06-09.313","Bluegill","Merritt","Jun","2010","2","1",179,"harvest",18,"200",18,0.358974358974359,1,"Q","generic"
"184","2740.2010-06-09.316","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.28,0,"Q","generic"
"185","2740.2010-06-09.316","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.28,0,"Q","generic"
"186","2740.2010-06-09.316","Bluegill","Merritt","Jun","2010","2","1",305,"harvest",30,"305",30,0.28,1,"Q","generic"
"187","2740.2010-06-09.316","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.28,0,"Q","generic"
"188","2740.2010-06-09.316","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.28,0,"Q","generic"
"189","2740.2010-06-09.316","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.28,0,"Q","generic"
"190","2740.2010-06-09.316","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.28,0,"Q","generic"
"198","2740.2010-06-11.338","Bluegill","Merritt","Jun","2010","2","1",125,"release",12,"125",12,0.214285714285714,0,"S","generic"
"199","2740.2010-06-11.338","Bluegill","Merritt","Jun","2010","2","1",230,"release",23,"230",23,0.214285714285714,0,"Q","generic"
"200","2740.2010-06-11.338","Bluegill","Merritt","Jun","2010","2","1",125,"release",12,"125",12,0.214285714285714,0,"S","generic"
"206","2740.2010-06-11.347","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.140350877192982,0,"Q","generic"
"207","2740.2010-06-11.347","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.140350877192982,0,"Q","generic"
"208","2740.2010-06-11.352","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.964630225080386,0,"Q","generic"
"209","2740.2010-06-11.352","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.964630225080386,0,"Q","generic"
"210","2740.2010-06-11.352","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.964630225080386,0,"Q","generic"
"211","2740.2010-06-11.352","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.964630225080386,0,"Q","generic"
"212","2740.2010-06-11.352","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.964630225080386,0,"Q","generic"
"233","2740.2010-06-12.360","Bluegill","Merritt","Jun","2010","2","1",125,"release",12,"125",12,0.136054421768707,0,"S","generic"
"234","2740.2010-06-12.360","Bluegill","Merritt","Jun","2010","2","1",125,"release",12,"125",12,0.136054421768707,0,"S","generic"
"236","2740.2010-06-12.363","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.127659574468085,0,"Q","generic"
"237","2740.2010-06-12.363","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.127659574468085,0,"Q","generic"
"240","2740.2010-06-12.364","Bluegill","Merritt","Jun","2010","2","1",125,"release",12,"125",12,0.395604395604396,0,"S","generic"
"241","2740.2010-06-12.364","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.395604395604396,0,"Q","generic"
"242","2740.2010-06-12.364","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.395604395604396,0,"Q","generic"
"243","2740.2010-06-12.364","Bluegill","Merritt","Jun","2010","2","1",125,"release",12,"125",12,0.395604395604396,0,"S","generic"
"244","2740.2010-06-12.364","Bluegill","Merritt","Jun","2010","2","1",125,"release",12,"125",12,0.395604395604396,0,"S","generic"
"245","2740.2010-06-12.364","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.395604395604396,0,"Q","generic"
"258","2740.2010-06-12.370","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.12,0,"Q","generic"
"266","2740.2010-06-13.383","Bluegill","Merritt","Jun","2010","2","1",125,"release",12,"125",12,4.5,0,"S","generic"
"267","2740.2010-06-13.383","Bluegill","Merritt","Jun","2010","2","1",200,"harvest",20,"200",20,4.5,1,"Q","generic"
"268","2740.2010-06-13.383","Bluegill","Merritt","Jun","2010","2","1",80,"release",8,"<125",8,4.5,0,"S","generic"
"269","2740.2010-06-13.383","Bluegill","Merritt","Jun","2010","2","1",80,"release",8,"<125",8,4.5,0,"S","generic"
"270","2740.2010-06-13.383","Bluegill","Merritt","Jun","2010","2","1",150,"harvest",15,"150",15,4.5,1,"Q","generic"
"271","2740.2010-06-13.383","Bluegill","Merritt","Jun","2010","2","1",175,"harvest",18,"175",18,4.5,1,"Q","generic"
"272","2740.2010-06-13.383","Bluegill","Merritt","Jun","2010","2","1",125,"release",12,"125",12,4.5,0,"S","generic"
"273","2740.2010-06-13.383","Bluegill","Merritt","Jun","2010","2","1",125,"release",12,"125",12,4.5,0,"S","generic"
"274","2740.2010-06-13.383","Bluegill","Merritt","Jun","2010","2","1",80,"release",8,"<125",8,4.5,0,"S","generic"
"279","2740.2010-06-19.418","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,1.09090909090909,0,"Q","generic"
"280","2740.2010-06-19.418","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,1.09090909090909,0,"Q","generic"
"281","2740.2010-06-19.418","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,1.09090909090909,0,"Q","generic"
"282","2740.2010-06-19.418","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,1.09090909090909,0,"Q","generic"
"283","2740.2010-06-19.418","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,1.09090909090909,0,"Q","generic"
"284","2740.2010-06-19.418","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,1.09090909090909,0,"Q","generic"
"285","2740.2010-06-19.418","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,1.09090909090909,0,"Q","generic"
"286","2740.2010-06-19.418","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,1.09090909090909,0,"Q","generic"
"287","2740.2010-06-19.418","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,1.09090909090909,0,"Q","generic"
"288","2740.2010-06-19.418","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,1.09090909090909,0,"Q","generic"
"289","2740.2010-06-19.419","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.0775193798449612,0,"Q","generic"
"301","2740.2010-06-19.433","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.0612244897959184,0,"Q","generic"
"304","2740.2010-06-19.439","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.0816326530612245,0,"Q","generic"
"305","2740.2010-06-19.439","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.0816326530612245,0,"Q","generic"
"313","2740.2010-06-19.443","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.0675675675675676,0,"Q","generic"
"320","2740.2010-06-20.473","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.1,0,"Q","generic"
"323","2740.2010-06-22.486","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.0329489291598023,0,"Q","generic"
"332","2740.2010-06-23.507","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.123796423658872,0,"Q","generic"
"333","2740.2010-06-23.507","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.123796423658872,0,"Q","generic"
"334","2740.2010-06-23.507","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.123796423658872,0,"Q","generic"
"336","2740.2010-06-23.511","Bluegill","Merritt","Jun","2010","2","1",207,"harvest",21,"230",21,0.0460829493087558,1,"Q","generic"
"338","2740.2010-06-23.520","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.117647058823529,0,"Q","generic"
"339","2740.2010-06-23.520","Bluegill","Merritt","Jun","2010","2","1",125,"release",12,"125",12,0.117647058823529,0,"S","generic"
"347","2740.2010-06-24.528","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.0756620428751576,0,"Q","generic"
"348","2740.2010-06-24.528","Bluegill","Merritt","Jun","2010","2","1",150,"release",15,"150",15,0.0756620428751576,0,"Q","generic"
"349","2740.2010-06-24.531","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.0740740740740741,0,"Q","generic"
"350","2740.2010-06-24.532","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.0327868852459016,0,"Q","generic"
"352","2740.2010-06-24.536","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.0383141762452107,0,"Q","generic"
"354","2740.2010-06-24.544","Bluegill","Merritt","Jun","2010","2","1",146,"harvest",15,"150",15,0.210280373831776,1,"Q","generic"
"355","2740.2010-06-24.544","Bluegill","Merritt","Jun","2010","2","1",160,"harvest",16,"175",16,0.210280373831776,1,"Q","generic"
"356","2740.2010-06-24.544","Bluegill","Merritt","Jun","2010","2","1",193,"harvest",19,"200",19,0.210280373831776,1,"Q","generic"
"366","2740.2010-06-25.558","Bluegill","Merritt","Jun","2010","2","1",80,"release",8,"<125",8,0.0555555555555556,0,"S","generic"
"372","2740.2010-06-26.571","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.298013245033113,0,"Q","generic"
"373","2740.2010-06-26.571","Bluegill","Merritt","Jun","2010","2","1",175,"release",18,"175",18,0.298013245033113,0,"Q","generic"
"374","2740.2010-06-26.571","Bluegill","Merritt","Jun","2010","2","1",80,"release",8,"<125",8,0.298013245033113,0,"S","generic"
"381","2740.2010-06-26.577","Bluegill","Merritt","Jun","2010","2","1",200,"release",20,"200",20,0.0617283950617284,0,"Q","generic"
"398","2740.2010-06-26.594","Bluegill","Merritt","Jun","2010","2","1",230,"release",23,"230",23,0.08,0,"Q","generic"
"419","2740.2010-07-01.866","Bluegill","Merritt","Jul","2010","2","1",200,"release",20,"200",20,0.201342281879195,0,"Q","generic"
"420","2740.2010-07-02.854","Bluegill","Merritt","Jul","2010","2","1",160,"harvest",16,"175",16,0.263157894736842,1,"Q","generic"
"421","2740.2010-07-02.854","Bluegill","Merritt","Jul","2010","2","1",211,"harvest",21,"230",21,0.263157894736842,1,"Q","generic"
"422","2740.2010-07-02.854","Bluegill","Merritt","Jul","2010","2","1",182,"harvest",18,"200",18,0.263157894736842,1,"Q","generic"
"423","2740.2010-07-02.854","Bluegill","Merritt","Jul","2010","2","1",174,"harvest",17,"175",17,0.263157894736842,1,"Q","generic"
"450","2740.2010-07-03.839","Bluegill","Merritt","Jul","2010","2","1",150,"release",15,"150",15,0.0206327372764787,0,"Q","generic"
"458","2740.2010-07-03.849","Bluegill","Merritt","Jul","2010","2","1",200,"release",20,"200",20,0.0769230769230769,0,"Q","generic"
"467","2740.2010-07-04.824","Bluegill","Merritt","Jul","2010","2","1",200,"release",20,"200",20,0.0493421052631579,0,"Q","generic"
"487","2740.2010-07-08.798","Bluegill","Merritt","Jul","2010","2","1",80,"release",8,"<125",8,0.0354609929078014,0,"S","generic"
"489","2740.2010-07-08.800","Bluegill","Merritt","Jul","2010","2","1",200,"release",20,"200",20,0.0869565217391304,0,"Q","generic"
"490","2740.2010-07-08.800","Bluegill","Merritt","Jul","2010","2","1",200,"release",20,"200",20,0.0869565217391304,0,"Q","generic"
"498","2740.2010-07-08.810","Bluegill","Merritt","Jul","2010","2","1",150,"release",15,"150",15,0.0759493670886076,0,"Q","generic"
"512","2740.2010-07-09.788","Bluegill","Merritt","Jul","2010","2","1",175,"release",18,"175",18,0.0623052959501558,0,"Q","generic"
"516","2740.2010-07-09.791","Bluegill","Merritt","Jul","2010","2","1",200,"release",20,"200",20,0.040650406504065,0,"Q","generic"
"526","2740.2010-07-10.753","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.0434782608695652,0,"S","generic"
"531","2740.2010-07-10.770","Bluegill","Merritt","Jul","2010","2","1",200,"harvest",20,"200",20,0.0363636363636364,1,"Q","generic"
"540","2740.2010-07-11.749","Bluegill","Merritt","Jul","2010","2","1",150,"release",15,"150",15,0.3,0,"Q","generic"
"541","2740.2010-07-11.749","Bluegill","Merritt","Jul","2010","2","1",175,"release",18,"175",18,0.3,0,"Q","generic"
"542","2740.2010-07-11.749","Bluegill","Merritt","Jul","2010","2","1",150,"release",15,"150",15,0.3,0,"Q","generic"
"565","2740.2010-07-14.724","Bluegill","Merritt","Jul","2010","1","1",150,"release",15,"150",15,0.333333333333333,0,"Q","generic"
"568","2740.2010-07-15.713","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.271493212669683,0,"S","generic"
"569","2740.2010-07-15.713","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.271493212669683,0,"S","generic"
"570","2740.2010-07-15.713","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.271493212669683,0,"S","generic"
"573","2740.2010-07-15.716","Bluegill","Merritt","Jul","2010","1","1",150,"release",15,"150",15,0.181818181818182,0,"Q","generic"
"575","2740.2010-07-16.694","Bluegill","Merritt","Jul","2010","2","1",200,"release",20,"200",20,0.046656298600311,0,"Q","generic"
"583","2740.2010-07-16.707","Bluegill","Merritt","Jul","2010","1","1",125,"release",12,"125",12,0.375,0,"S","generic"
"584","2740.2010-07-16.707","Bluegill","Merritt","Jul","2010","1","1",125,"release",12,"125",12,0.375,0,"S","generic"
"585","2740.2010-07-16.707","Bluegill","Merritt","Jul","2010","1","1",125,"release",12,"125",12,0.375,0,"S","generic"
"601","2740.2010-07-17.680","Bluegill","Merritt","Jul","2010","2","1",150,"release",15,"150",15,0.319634703196347,0,"Q","generic"
"602","2740.2010-07-17.680","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.319634703196347,0,"S","generic"
"603","2740.2010-07-17.680","Bluegill","Merritt","Jul","2010","2","1",150,"release",15,"150",15,0.319634703196347,0,"Q","generic"
"604","2740.2010-07-17.680","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.319634703196347,0,"S","generic"
"605","2740.2010-07-17.680","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.319634703196347,0,"S","generic"
"606","2740.2010-07-17.680","Bluegill","Merritt","Jul","2010","2","1",150,"release",15,"150",15,0.319634703196347,0,"Q","generic"
"607","2740.2010-07-17.680","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.319634703196347,0,"S","generic"
"639","2740.2010-07-19.658","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.153846153846154,0,"S","generic"
"640","2740.2010-07-19.658","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.153846153846154,0,"S","generic"
"663","2740.2010-07-21.641","Bluegill","Merritt","Jul","2010","2","1",80,"release",8,"<125",8,0.0952380952380952,0,"S","generic"
"669","2740.2010-07-22.633","Bluegill","Merritt","Jul","2010","2","1",150,"release",15,"150",15,0.26431718061674,0,"Q","generic"
"670","2740.2010-07-22.633","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.26431718061674,0,"S","generic"
"672","2740.2010-07-22.636","Bluegill","Merritt","Jul","2010","1","1",201,"harvest",20,"230",20,0.952380952380952,1,"Q","generic"
"675","2740.2010-07-23.631","Bluegill","Merritt","Jul","2010","2","1",125,"release",12,"125",12,0.138888888888889,0,"S","generic"
"679","2740.2010-08-05.945","Bluegill","Merritt","Aug","2010","2","1",200,"release",20,"200",20,0.133333333333333,0,"Q","generic"
"680","2740.2010-08-05.946","Bluegill","Merritt","Aug","2010","2","1",230,"release",23,"230",23,0.125,0,"Q","generic"
"682","2740.2010-08-06.933","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.0961538461538461,0,"S","generic"
"713","2740.2010-08-07.917","Bluegill","Merritt","Aug","2010","2","1",181,"harvest",18,"200",18,0.416666666666667,1,"Q","generic"
"714","2740.2010-08-07.917","Bluegill","Merritt","Aug","2010","2","1",204,"harvest",20,"230",20,0.416666666666667,1,"Q","generic"
"715","2740.2010-08-07.917","Bluegill","Merritt","Aug","2010","2","1",183,"harvest",18,"200",18,0.416666666666667,1,"Q","generic"
"716","2740.2010-08-07.917","Bluegill","Merritt","Aug","2010","2","1",174,"harvest",17,"175",17,0.416666666666667,1,"Q","generic"
"717","2740.2010-08-07.917","Bluegill","Merritt","Aug","2010","2","1",190,"harvest",19,"200",19,0.416666666666667,1,"Q","generic"
"738","2740.2010-08-07.918","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.37037037037037,0,"S","generic"
"739","2740.2010-08-07.918","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.37037037037037,0,"S","generic"
"740","2740.2010-08-07.918","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.37037037037037,0,"S","generic"
"741","2740.2010-08-07.918","Bluegill","Merritt","Aug","2010","2","1",200,"release",20,"200",20,0.37037037037037,0,"Q","generic"
"742","2740.2010-08-07.918","Bluegill","Merritt","Aug","2010","2","1",175,"release",18,"175",18,0.37037037037037,0,"Q","generic"
"743","2740.2010-08-07.918","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.37037037037037,0,"S","generic"
"744","2740.2010-08-07.918","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.37037037037037,0,"S","generic"
"762","2740.2010-08-07.925","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,1.01351351351351,0,"Q","generic"
"763","2740.2010-08-07.925","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,1.01351351351351,0,"Q","generic"
"764","2740.2010-08-07.925","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,1.01351351351351,0,"Q","generic"
"765","2740.2010-08-07.925","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,1.01351351351351,0,"Q","generic"
"766","2740.2010-08-07.925","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,1.01351351351351,0,"S","generic"
"767","2740.2010-08-07.925","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,1.01351351351351,0,"S","generic"
"768","2740.2010-08-07.925","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,1.01351351351351,0,"Q","generic"
"769","2740.2010-08-07.925","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,1.01351351351351,0,"S","generic"
"770","2740.2010-08-07.925","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,1.01351351351351,0,"S","generic"
"771","2740.2010-08-07.925","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,1.01351351351351,0,"S","generic"
"827","2740.2010-08-08.908","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.303030303030303,0,"S","generic"
"828","2740.2010-08-08.908","Bluegill","Merritt","Aug","2010","2","1",182,"harvest",18,"200",18,0.303030303030303,1,"Q","generic"
"829","2740.2010-08-08.908","Bluegill","Merritt","Aug","2010","2","1",185,"harvest",18,"200",18,0.303030303030303,1,"Q","generic"
"830","2740.2010-08-08.908","Bluegill","Merritt","Aug","2010","2","1",179,"harvest",18,"200",18,0.303030303030303,1,"Q","generic"
"847","2740.2010-08-08.912","Bluegill","Merritt","Aug","2010","2","1",125,"release",12,"125",12,0.5,0,"S","generic"
"848","2740.2010-08-08.913","Bluegill","Merritt","Aug","2010","2","1",150,"release",15,"150",15,0.204081632653061,0,"Q","generic"
